onset	duration	sample	value
24.1474609375	n/a	24727	2131001
24.1474609375	n/a	24727	1111001
24.1474609375	n/a	24727	1211001
24.1474609375	n/a	24727	2412211
24.1474609375	n/a	24727	3110001
24.1474609375	n/a	24727	3210001
24.1474609375	n/a	24727	2812001
24.1650390625	n/a	24745	1520001
24.1650390625	n/a	24745	2724411
25.4443359375	n/a	26055	1520002
25.4443359375	n/a	26055	2724412
26.3388671875	n/a	26971	2812002
27.7548828125	n/a	28421	2310001
28.7138671875	n/a	29403	1520001
28.7138671875	n/a	29403	2724411
28.9785156250	n/a	29674	2310002
28.9785156250	n/a	29674	4111101
30.9062500000	n/a	31648	2562001
30.9062500000	n/a	31648	2744421
31.6367187500	n/a	32396	1211002
31.6367187500	n/a	32396	2412212
31.6367187500	n/a	32396	1234001
31.6367187500	n/a	32396	2422111
31.6367187500	n/a	32396	4211301
31.6738281250	n/a	32434	2744422
32.9433593750	n/a	33734	1310001
33.1162109375	n/a	33911	2562001
33.1162109375	n/a	33911	2744421
33.8837890625	n/a	34697	2744422
35.0068359375	n/a	35847	2310001
35.3271484375	n/a	36175	2562001
35.3271484375	n/a	36175	2744421
35.6464843750	n/a	36502	2310002
35.6464843750	n/a	36502	4111101
36.0937500000	n/a	36960	2744422
37.5371093750	n/a	38438	2562001
37.5371093750	n/a	38438	2744421
38.3046875000	n/a	39224	2744422
39.3642578125	n/a	40309	1520002
39.3642578125	n/a	40309	2724412
40.6152343750	n/a	41590	2310001
41.3466796875	n/a	42339	2310002
41.3466796875	n/a	42339	4111101
41.6474609375	n/a	42647	2552001
41.6474609375	n/a	42647	2734221
42.4150390625	n/a	43433	2734222
42.8994140625	n/a	43929	1420001
42.8994140625	n/a	43929	2714211
43.8583984375	n/a	44911	2552001
43.8583984375	n/a	44911	2734221
44.6250000000	n/a	45696	2734222
44.6708984375	n/a	45743	1420002
44.6708984375	n/a	45743	2714212
46.5341796875	n/a	47651	1310002
47.1923828125	n/a	48325	2310001
47.7763671875	n/a	48923	2310002
47.7763671875	n/a	48923	4111101
54.2431640625	n/a	55545	2310001
55.0292968750	n/a	56350	2310002
55.0292968750	n/a	56350	4111101
55.0566406250	n/a	56378	2572001
55.0566406250	n/a	56378	3110002
55.0566406250	n/a	56378	3210002
55.0566406250	n/a	56378	3110001
55.0566406250	n/a	56378	3221001
55.0566406250	n/a	56378	2812001
55.3759765625	n/a	56705	1340001
57.2480468750	n/a	58622	2812002
60.0712890625	n/a	61513	2310001
60.8925781250	n/a	62354	2310002
60.8925781250	n/a	62354	4111101
66.3730468750	n/a	67966	1340002
66.8115234375	n/a	68415	2320001
67.4697265625	n/a	69089	2320002
67.4697265625	n/a	69089	4121101
73.9638671875	n/a	75739	2572001
73.9638671875	n/a	75739	3110002
73.9638671875	n/a	75739	3221002
73.9638671875	n/a	75739	3110001
73.9638671875	n/a	75739	3222001
73.9638671875	n/a	75739	2812001
74.4658203125	n/a	76253	2310001
75.1416015625	n/a	76945	2310002
75.1416015625	n/a	76945	4111101
75.1787109375	n/a	76983	1320001
76.1552734375	n/a	77983	2812002
79.4531250000	n/a	81360	1410001
79.4531250000	n/a	81360	2714111
81.9921875000	n/a	83960	2310001
82.1289062500	n/a	84100	2552001
82.1289062500	n/a	84100	2734121
82.8876953125	n/a	84877	4121201
82.8876953125	n/a	84877	2783031
82.8964843750	n/a	84886	2542001
82.8964843750	n/a	84886	2734122
82.9423828125	n/a	84933	1410002
82.9423828125	n/a	84933	2714112
82.9423828125	n/a	84933	4112101
82.9970703125	n/a	84989	2310002
83.9648437500	n/a	85980	1410001
83.9648437500	n/a	85980	2714111
86.1757812500	n/a	88244	2783032
86.8056640625	n/a	88889	2552001
86.8056640625	n/a	88889	2734121
87.5732421875	n/a	89675	2734122
88.4589843750	n/a	90582	1410002
88.4589843750	n/a	90582	2714112
88.5869140625	n/a	90713	2310001
88.7333984375	n/a	90863	1320002
89.2812500000	n/a	91424	2310002
89.2812500000	n/a	91424	4111101
90.1669921875	n/a	92331	2572001
90.1669921875	n/a	92331	3110002
90.1669921875	n/a	92331	3222002
90.1669921875	n/a	92331	3110001
90.1669921875	n/a	92331	3221001
90.1669921875	n/a	92331	2812001
92.3593750000	n/a	94576	2812002
95.0908203125	n/a	97373	2310001
95.7119140625	n/a	98009	2310002
95.7119140625	n/a	98009	4111101
97.1728515625	n/a	99505	1420001
97.1728515625	n/a	99505	2714211
97.2089843750	n/a	99542	1420002
97.2089843750	n/a	99542	2714212
97.2646484375	n/a	99599	1420001
97.2646484375	n/a	99599	2714211
97.5751953125	n/a	99917	1330001
98.4609375000	n/a	100824	2552001
98.4609375000	n/a	100824	2734221
98.5615234375	n/a	100927	1420002
98.5615234375	n/a	100927	2714212
98.5615234375	n/a	100927	2734222
101.2285156250	n/a	103658	1420001
101.2285156250	n/a	103658	2714211
101.6855468750	n/a	104126	2320001
102.3066406250	n/a	104762	4111201
102.3066406250	n/a	104762	2783031
102.3154296875	n/a	104771	2542001
102.5068359375	n/a	104967	2320002
102.5068359375	n/a	104967	4122101
102.8818359375	n/a	105351	2552001
102.8818359375	n/a	105351	2734221
103.6484375000	n/a	106136	2734222
104.5166015625	n/a	107025	1420002
104.5166015625	n/a	107025	2714212
105.5947265625	n/a	108129	2783032
105.6035156250	n/a	108138	2572001
105.6035156250	n/a	108138	3110002
105.6035156250	n/a	108138	3221002
105.6035156250	n/a	108138	3110001
105.6035156250	n/a	108138	3210001
105.6035156250	n/a	108138	2812001
107.7958984375	n/a	110383	2812002
107.9511718750	n/a	110542	2310001
108.5722656250	n/a	111178	1330002
108.8095703125	n/a	111421	2310002
108.8095703125	n/a	111421	4111101
115.2949218750	n/a	118062	2320001
116.2265625000	n/a	119016	2320002
116.2265625000	n/a	119016	4121101
117.3769531250	n/a	120194	1310001
120.8476562500	n/a	123748	2320001
121.8896484375	n/a	124815	2320002
121.8896484375	n/a	124815	4121101
124.1640625000	n/a	127144	2572001
124.1640625000	n/a	127144	3110002
124.1640625000	n/a	127144	3210002
124.1640625000	n/a	127144	3110001
124.1640625000	n/a	127144	3221001
124.1640625000	n/a	127144	2812001
126.3554687500	n/a	129388	2812002
127.1503906250	n/a	130202	2310001
127.8085937500	n/a	130876	2310002
127.8085937500	n/a	130876	4111101
127.8447265625	n/a	130913	1420001
127.8447265625	n/a	130913	2714211
129.7353515625	n/a	132849	2552001
129.7353515625	n/a	132849	2734221
130.4931640625	n/a	133625	1310002
130.5029296875	n/a	133635	2734222
131.0419921875	n/a	134187	1420002
131.0419921875	n/a	134187	2714212
132.9228515625	n/a	136113	2310001
134.1835937500	n/a	137404	2310002
134.1835937500	n/a	137404	4111101
135.6455078125	n/a	138901	1420001
135.6455078125	n/a	138901	2714211
137.0976562500	n/a	140388	2552001
137.0976562500	n/a	140388	2734221
137.8642578125	n/a	141173	2734222
138.0019531250	n/a	141314	1420002
138.0019531250	n/a	141314	2714212
139.2988281250	n/a	142642	1320001
139.7001953125	n/a	143053	2310001
140.3583984375	n/a	143727	2310002
140.3583984375	n/a	143727	4111101
140.8974609375	n/a	144279	2572001
140.8974609375	n/a	144279	3110002
140.8974609375	n/a	144279	3221002
140.8974609375	n/a	144279	3110001
140.8974609375	n/a	144279	3210001
140.8974609375	n/a	144279	2812001
143.0888671875	n/a	146523	2812002
146.1855468750	n/a	149694	2310001
146.9707031250	n/a	150498	2310002
146.9707031250	n/a	150498	4111101
148.7792968750	n/a	152350	1410001
148.7792968750	n/a	152350	2714111
149.9853515625	n/a	153585	1410002
149.9853515625	n/a	153585	2714112
151.8125000000	n/a	155456	2320001
152.5615234375	n/a	156223	4111201
152.5615234375	n/a	156223	2783031
152.5703125000	n/a	156232	2542001
152.9267578125	n/a	156597	1320002
152.9267578125	n/a	156597	2320002
152.9267578125	n/a	156597	4122101
155.8496093750	n/a	159590	2783032
159.0097656250	n/a	162826	2310001
159.9414062500	n/a	163780	2310002
